id,rank,player,position,year_inducted,from,to,all_pro_selections,pro_bowl_selections,years_as_starter,approx_value,games,completions,pass_attempts,pass_yards,pass_td,longest_completed_pass,int_thrown,times_sacked,sack_yards,rush_attempts,rush_yards,rush_td,longest_rush,receptions,receiving_yards,receiving_td,longest_reception,all_purpose_yards,td_total,tackles,sacks,interception
2,2,Cliff Branch,WR,2022,1972,1985,3,4,11,87,183,,,,,,,,,11.0,70.0,0.0,20.0,501.0,8685.0,67.0,99.0,8969,67,0,0.0,0
3,3,LeRoy Butler,DB,2022,1990,2001,4,4,11,87,181,,,,,,,,,,,,,,,,,609,3,889,20.5,38
4,4,Sam Mills,LB,2022,1986,1997,1,5,11,102,181,,,,,,,,,,,,,,,,,285,4,1265,20.5,11
5,5,Richard Seymour,DE,2022,2001,2012,3,7,11,91,164,,,,,,,,,,,,,,,,,87,1,498,57.5,2
6,6,Bryant Young,DT,2022,1994,2007,1,4,14,88,208,,,,,,,,,,,,,,,,,47,0,627,89.5,0
8,8,Calvin Johnson,WR,2021,2007,2015,3,6,9,78,135,,,,,,,,,19.0,167.0,1.0,32.0,731.0,11619.0,83.0,96.0,11787,84,0,0.0,0
9,9,John Lynch,DB,2021,1993,2007,2,9,13,88,224,,,,,,,,,1.0,40.0,0.0,40.0,,,,,259,0,1059,13.0,26
10,10,Peyton Manning,QB,2021,1998,2015,7,14,17,176,266,6125.0,9380.0,71940.0,539.0,86.0,251.0,303.0,1953.0,431.0,667.0,18.0,33.0,1.0,-2.0,0.0,0.0,620,18,0,0.0,0
12,12,Charles Woodson,DB,2021,1998,2015,3,9,16,115,254,,,,,,,,,1.0,-3.0,0.0,0.0,2.0,27.0,0.0,19.0,1915,13,1220,20.0,65
13,13,Steve Atwater,DB,2020,1989,1999,2,8,11,81,167,,,,,,,,,,,,,,,,,455,1,1188,5.0,24
