Player Id,Name,Position,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Safties,Passes Defended,Ints,Ints for TDs,Int Yards,Yards Per Int,Longest Int Return,Receptions,Receiving Yards,Receiving TDs,Receptions Longer than 20 Yards,Receptions Longer than 40 Yards,First Down Receptions,Fumbles,Yards Per Reception,Yards Per Game,Rushing Attempts,Rushing Attempts Per Game,Rushing Yards,Yards Per Carry,Rushing Yards Per Game,Rushing TDs,Rushing First Downs,Percentage of Rushing First Downs,Rushing More Than 20 Yards,Rushing More Than 40 Yards,Passes Attempted,Passes Completed,Passing Yards,TD Passes,Completion Percentage,Pass Attempts Per Game,Passing Yards Per Attempt,Passing Yards Per Game,Percentage of TDs per Attempts,Int Rate
a.j.bouye/2541162,"Bouye, A.J.",DB,50,140.0,117.0,23.0,1.0,0.0,32.0,6.0,1.0,129.0,44.5,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaronwilliams/2508110,"Williams, Aaron",DB,59,257.0,184.0,73.0,0.0,0.0,36.0,7.0,0.0,95.0,62.8,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamjones/2506345,"Jones, Adam",DB,130,475.0,392.0,83.0,3.0,0.0,85.0,15.0,2.0,239.0,76.9,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alterraunverner/494317,"Verner, Alterraun",DB,110,436.0,359.0,77.0,0.5,0.0,70.0,15.0,1.0,210.0,109.8,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrewsendejo/2525323,"Sendejo, Andrew",DB,77,264.0,183.0,81.0,1.0,0.0,9.0,4.0,0.0,28.0,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthonylevine/2508004,"Levine, Anthony",DB,66,59.0,46.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoinebethea/2495807,"Bethea, Antoine",DB,162,1046.0,768.0,278.0,5.5,0.0,61.0,19.0,1.0,254.0,127.4,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonioallen/2532786,"Allen, Antonio",DB,50,115.0,85.0,30.0,2.5,0.0,13.0,1.0,1.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqibtalib/1302,"Talib, Aqib",DB,120,394.0,337.0,57.0,1.0,0.0,111.0,33.0,9.0,619.0,217.7,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.w.webb/2539338,"Webb, B.W.",DB,49,68.0,60.0,8.0,0.0,0.0,14.0,2.0,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barrychurch/494259,"Church, Barry",DB,90,488.0,363.0,125.0,0.0,0.0,16.0,5.0,0.0,63.0,31.5,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bradleymcdougald/2539243,"McDougald, Bradley",DB,51,228.0,186.0,42.0,0.0,0.0,21.0,5.0,0.0,33.0,16.5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bradleyroby/2543505,"Roby, Bradley",DB,48,144.0,131.0,13.0,2.0,0.0,31.0,5.0,2.0,121.0,70.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandonboykin/2532798,"Boykin, Brandon",DB,64,145.0,128.0,17.0,2.0,0.0,37.0,8.0,1.0,137.0,23.7,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandoncarr/4365,"Carr, Brandon",DB,144,552.0,477.0,75.0,1.0,0.0,110.0,15.0,2.0,284.0,125.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandonflowers/754,"Flowers, Brandon",DB,119,487.0,427.0,60.0,3.0,0.0,110.0,21.0,4.0,421.0,195.9,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brentgrimes/2506861,"Grimes, Brent",DB,122,477.0,414.0,63.0,0.0,0.0,123.0,30.0,3.0,394.0,129.3,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bricemccain/238466,"McCain, Brice",DB,116,226.0,184.0,42.0,0.5,0.0,59.0,11.0,2.0,223.0,145.2,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryndentrawick/2541756,"Trawick, Brynden",DB,53,54.0,42.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
busterskrine/2495343,"Skrine, Buster",DB,94,338.0,281.0,57.0,2.0,0.0,62.0,8.0,0.0,104.0,78.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byronmaxwell/2495310,"Maxwell, Byron",DB,74,199.0,164.0,35.0,0.0,0.0,52.0,10.0,0.0,80.0,38.5,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
captainmunnerlyn/80668,"Munnerlyn, Captain",DB,124,453.0,360.0,93.0,6.5,0.0,51.0,11.0,5.0,261.0,124.3,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caseyhayward/2532861,"Hayward, Casey",DB,67,226.0,185.0,41.0,0.0,0.0,55.0,16.0,2.0,296.0,65.80000000000001,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrisconte/2495272,"Conte, Chris",DB,85,379.0,298.0,81.0,0.0,0.0,32.0,13.0,1.0,193.0,87.5,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrisharris/2530510,"Harris, Chris",DB,95,373.0,327.0,46.0,3.5,0.0,66.0,14.0,3.0,342.0,145.6,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrismaragos/2507918,"Maragos, Chris",DB,93,79.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrisprosinski/2499249,"Prosinski, Chris",DB,85,156.0,122.0,34.0,1.0,0.0,7.0,1.0,0.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chykiebrown/2495126,"Brown, Chykie",DB,59,81.0,68.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codydavis/2541135,"Davis, Cody",DB,58,37.0,27.0,10.0,0.0,0.0,3.0,1.0,0.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colinjones/2499257,"Jones, Colin",DB,89,80.0,63.0,17.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coltanderson/2507597,"Anderson, Colt",DB,79,106.0,91.0,15.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coreygraham/2495613,"Graham, Corey",DB,157,612.0,477.0,135.0,3.0,0.0,60.0,15.0,1.0,200.0,94.2,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coreywhite/2532972,"White, Corey",DB,66,161.0,132.0,29.0,1.0,0.0,22.0,6.0,0.0,45.0,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotysensabaugh/2532946,"Sensabaugh, Coty",DB,72,194.0,153.0,41.0,1.0,0.0,23.0,2.0,1.0,42.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d.j.swearinger/2539943,"Swearinger, D.J.",DB,59,229.0,179.0,50.0,3.0,0.0,19.0,6.0,0.0,44.0,19.8,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da'norrissearcy/2495339,"Searcy, Da'Norris",DB,91,304.0,221.0,83.0,4.5,0.0,24.0,7.0,1.0,107.0,60.3,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daimionstafford/2539266,"Stafford, Daimion",DB,62,117.0,94.0,23.0,3.0,0.0,9.0,2.0,0.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darianstewart/494307,"Stewart, Darian",DB,100,331.0,263.0,68.0,4.0,0.0,37.0,6.0,1.0,63.0,39.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dariusbutler/79897,"Butler, Darius",DB,109,304.0,254.0,50.0,0.0,0.0,62.0,15.0,4.0,290.0,81.6,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dariusslay/2540288,"Slay, Darius",DB,58,198.0,166.0,32.0,1.0,0.0,48.0,6.0,0.0,66.0,33.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darrellerevis/2495717,"Revis, Darrelle",DB,140,483.0,398.0,85.0,2.0,0.0,137.0,29.0,3.0,466.0,143.6,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darrellstuckey/494309,"Stuckey, Darrell",DB,89,94.0,72.0,22.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darrylmorris/2541629,"Morris, Darryl",DB,48,87.0,69.0,18.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashongoldson/2495611,"Goldson, Dashon",DB,127,610.0,466.0,144.0,3.0,0.0,46.0,16.0,2.0,187.0,99.6,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidamerson/2540170,"Amerson, David",DB,62,233.0,203.0,30.0,0.0,0.0,59.0,8.0,2.0,73.0,29.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davonhouse/2495170,"House, Davon",DB,72,175.0,147.0,28.0,2.0,0.0,48.0,6.0,0.0,32.0,16.2,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deangelohall/2506108,"Hall, DeAngelo",DB,166,797.0,625.0,172.0,2.0,0.0,130.0,43.0,5.0,838.0,203.4,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
